Name,Organization,Project 
Eesha Arif,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Khaled Emara,FreeBSD Project,"FreeBSD is an advanced, open source operating system that features a mature network stack, a high degree of reliability, and excellent performance."
Pulak Malhotra,Rizin,"Rizin - portable reverse engineering framework and a toolset supporting various platforms, architectures and file formats."
Ritik Kumar Srivastava,The Palisadoes Foundation,"Our software projects help community-based organizations such as clubs, neighborhood groups, volunteer associations and small religious institutions manage their daily activities."
Matthew Filipovich,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Nghia Duong,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Minshuo Chen,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Xiaojie Yi,Haiku,"Haiku is an open-source operating system that specifically targets personal computing. Inspired by the BeOS, Haiku is fast, simple to use, easy to learn and yet very powerful."
Matías Ceferino Demarchi,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
ankit2001,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Harshal Dupare,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
arpitvaghela,OpenMined,"OpenMined is an open-source community of researchers, engineers, mentors and enthusiasts committed to making a fairer world by building and teaching privacy enhancing technologies"
Fabian Schempp,Blender Foundation,"Blender is the free/open source 3D creation software for everyone, providing individuals and small teams a complete pipeline for 3D graphics, modeling, animation and games."
Nikhil Agarwal,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Umang Taneja,SPDX,"SPDX is an open standard for communicating software bill of material information, including provenance, license, security, and other related information."
Eshan Arora,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Nadezda Lutovinova,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Gangavarapu Praneeth,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Khanh-Tung Nguyen-Ba,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Divyanshu Madan,Point Cloud Library,"The Point Cloud Library (PCL) is a standalone, large scale, open project for 2D/3D image and point cloud processing."
Hannes,Red Hen Lab,Research on Multimodal Communication
Arpan Parikh,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Arijit Kundu,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
Rishabh Vasudevan,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
Shivanshu Tyagi,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
He Yang,ReactOS,"ReactOS is an open-source operating system compatible with Windows. It is binary compatible, so can run both applications and drivers written for Windows."
Arkajyoti Bhattacharjee,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Anant Thazhemadam,The Julia Language,A fresh approach to Technical Computing
Manan Jethwani,Kiwix,Kiwix is the offline platform that allows people without internet connectivity to browse a wide range of educational websites archived as zim files.
Prajna,Open Genome Informatics,"Developing open source and open access genome and bioinformatics databases, tools and resources."
Harsh Kumar,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
SunTzunami_8_24,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Ziwei XU,DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web
Liangda Wang,The Apache Software Foundation,Providing open source software to the public free of charge
Akshit Kushwaha,LibreOffice,"LibreOffice is a lively and diverse community, delivering a full-featured cross-platform office suite. We value new contributors, just as we prize Open Source and Open Standards."
visvesh subramanian,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
Fredrik Wieczerkowski,Swift,"Swift is a general-purpose programming language built using a modern approach to safety, performance, and software design patterns."
Saubhik Mukherjee,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Harshitha S,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
Liq Tao,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Ayas Behera,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Antonio Gomes,CGAL Project,CGAL is a software project that provides easy access to efficient and reliable geometric algorithms in the form of a C++ library.
Vasudev Gupta,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Manish Kumar Shah,OpenWISP,"OpenWISP is an open source network management system which runs on low cost hardware and be used to manage networks: from public wifi, university wifi, to mesh networks and IoT."
felipe bivort haiek,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Soham Dixit,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Sai Rohitth Chiluka,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Ivan Molodetskikh,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
Parth Pratim Chatterjee,The ns-3 Network Simulator Project,ns-3 is a simulation tool for performance evaluation of computer networks and protocols.  ns-3 users build models and scenarios of networks to conduct simulation experiments.
Leonardo Cumplido,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Abdallah Elshamy,GNU Octave,"GNU Octave is a high-level interpreted language, primarily intended for numerical computations."
Leandro Doctors,Debian,"Debian is a free operating system (OS). It provides more than an OS, coming with over 51,000 software packages bundled in a nice format for easy installation on your machine."
Otávio Oliveira,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster
Shu Richmond,AOSSIE,The Australian umbrella organization for open-source projects.
Sachin Chauhan,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Pranav Rajpal,mypy,"Mypy is a static type checker for Python. The mypy project also develops mypyc, a compiler for type-annotated Python."
Yashraj Desai,Cuneiform Digital Library Initiative (CDLI),"CDLI is driven by the mission to enable collection, preservation, and accessibility of information concerning artifacts inscribed the cuneiform script."
Dharna Chandrakar,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Lisardo Pérez Lugones,Red Hen Lab,Research on Multimodal Communication
Osama Ahmad,Inkscape,"An Open Source vector graphics editor, using the W3C standard Scalable Vector Graphics (SVG) file format."
Ashish  Malik,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC"
Aravind Murali,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Pu (Luke) Yi,Java PathFinder,"JPF is a highly extensible Java virtual machine written in Java. It is used to create many verification and debugging tools, ranging from model checkers to test case generators."
RWMK,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Prakhar Agarwal,Purr Data,"An HTML5 visual programming language with a realtime DSP synthesis backend written in C. Mostly used to make music. Also used to do realtime graphics, video, and interactive art."
Asier Galicia,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Chi Lung Cheng,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
João Seckler,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Aradhana Kund,Cuneiform Digital Library Initiative (CDLI),"CDLI is driven by the mission to enable collection, preservation, and accessibility of information concerning artifacts inscribed the cuneiform script."
Chaitanya Kulkarni,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Vedang Joshi,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
Mahmoud Khalil,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Mohammad Humayun Khan,XWiki,"XWiki offers a generic web platform for developing collaborative applications using the wiki paradigm, allowing customization through a vast collection of extensions."
Pola Hano Shehat,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Shubhanshu Saxena,Intel Video and Audio for Linux,We work on Linux opensource video and audio software for Intel.
Vishal Chaudhary,Chromium,"Chromium is an open-source project that aims to provide fast, seamless, safe, and reliable computing experiences for all."
Daniil Pakhomov,MediaPipe,"MediaPipe offers open source cross-platform, customizable ML solutions for live and streaming media."
Mykola Medynskyi,Scala Center,"independent, not-for-profit center guiding and supporting the Scala community"
Ajinkya Raghuwanshi,SymbiFlow,"The SymbiFlow project is building a FOSS flow for developing FPGA IP/gateware, lowering the entry barrier into FPGA development for professional engineers and hobbyists."
Ji Hun Hong,Processing Foundation,The Processing Foundation’s mission is to promote software literacy and visual literacy — and to make these fields accessible to diverse communities.
Mohamed Mokhtar,Red Hen Lab,Research on Multimodal Communication
Darshil Patel,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
zbrown,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
Rahat Muneeb,Chromium,"Chromium is an open-source project that aims to provide fast, seamless, safe, and reliable computing experiences for all."
Yongrong Chen,Swift,"Swift is a general-purpose programming language built using a modern approach to safety, performance, and software design patterns."
Tarun Nagdeve,Red Hen Lab,Research on Multimodal Communication
Konstantinos Doumanidis,GFOSS - Open Technology Alliance,"Open Technologies Alliance (GFOSS)  is a non-profit organization, with 34 Universities and Research Centers as its shareholders. Our main goal is to promote Openness."
Puranjay Mohan,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Martin Kostelník,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Yash Rajpal,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
Kamush,Apertium,A free/open-source machine translation platform.
Atreya Majumdar,Open Chemistry,"Open Chemistry is a collection of open source chemistry tools for the creation, exploration, analysis, and visualization of chemical data."
Yuki Osaki,Ruby,"The Ruby organization collects mentors and students working on the Ruby language (MRI), the Ruby packaging system (Bundler, RubyGems, and RubyGems.org), and other Ruby projects."
Dinko Franceschi,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Quinn Okabayashi,openSUSE Project,"The openSUSE project is a community effort to enhance and promote the use of Linux. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools."
Mirali Ahmadli,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Ashutosh Chauhan -,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Subham Raj,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Nkoa Christophe,CiviCRM LLC,CiviCRM is the leading open source CRM for nonprofits worldwide.
Georgiy Lebedev,Tarantool,Tarantool is in-memory computing platform with flexible data schema.
Harshavardhan Unnibhavi,QEMU,"QEMU is an emulator and virtualizer that can run x86, ARM, and more virtual machines on a different machine. It has both dynamic binary translation and virtualization capabilities."
Paulina Martin,The Julia Language,A fresh approach to Technical Computing
Eduardo Quintana Miranda,Boost C++ Libraries,"Boost provides free peer-reviewed portable C++ source libraries.
We emphasize libraries that work well with the C++ Standard Library and are intended to be widely useful."
Tomás Assenza,freifunk,Freifunk is part of a global movement for free infrastructure. Our vision is the democratization of media with free networks. Wireless communities implement this idea worldwide.
Amirfarhad Nilizadeh,Java PathFinder,"JPF is a highly extensible Java virtual machine written in Java. It is used to create many verification and debugging tools, ranging from model checkers to test case generators."
Ashwath V A,MuseScore,"MuseScore is a notation app for Windows, Mac and Linux that allows users to create and play high quality sheet music"
Alan Barzilay,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Kartik,gprMax,"Numerical modelling software for simulating electromagnetic wave propagation, and the most widely-used tool for simulating Ground Penetrating Radar (GPR)."
Harshal Anil Shende,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Adithya Sunil Edakkadan,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
Dhruv Jain,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
Anshudhar Kumar Singh,Inkscape,"An Open Source vector graphics editor, using the W3C standard Scalable Vector Graphics (SVG) file format."
Francesco Bursi,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
Guillem Lopez Paradis,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
Marlin Roberts,Java PathFinder,"JPF is a highly extensible Java virtual machine written in Java. It is used to create many verification and debugging tools, ranging from model checkers to test case generators."
Adarsh Kumar,The Julia Language,A fresh approach to Technical Computing
Siddhant Jain,DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web
Gopi Manohar Tatiraju,mlpack,"mlpack is a fast, flexible machine learning library written in C++."
Jiarui Wang,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Hari Prashant Bhimaraju,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Lycanthrope,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Anant Bhasin,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
Amr Maghraby,Red Hen Lab,Research on Multimodal Communication
tastatham,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Rithik Sharma,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Aayush Sabharwal,The Julia Language,A fresh approach to Technical Computing
Rahul Halder,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
Yorguin Mantilla Ramos,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Gautam Jajoo,CloudCV,"CloudCV is an open-source organization building platforms for reproducible AI research & making it easy for researchers to build, compare, & share state-of-the-art AI algorithms."
ABHISHEK AGARWAL,AOSSIE,The Australian umbrella organization for open-source projects.
Tomas Capretto,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Mai Nguyen,MGGG Redistricting Lab,MGGG researches applications in math and computer science for US redistricting and Community of Interest mapping.
Kapil (devkapilbansal),OpenWISP,"OpenWISP is an open source network management system which runs on low cost hardware and be used to manage networks: from public wifi, university wifi, to mesh networks and IoT."
Ahmed Alwasifey,Joplin,"Joplin is an open-source note taking and to-do application with synchronisation capabilities. The notes are searchable, tagged and images or files can be attached to them."
Rajan Jaiswal,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer..."
Deep Majumder,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Gourishankar Panda,Kiwix,Kiwix is the offline platform that allows people without internet connectivity to browse a wide range of educational websites archived as zim files.
Yash Srivastava,OpenStreetMap,"OpenStreetMap was started because most maps you think of as free have restrictions on their use, holding back people from using them in creative, productive, or unexpected ways."
Yash Jipkate,"Center for Research in Open Source Software, UC Santa Cruz",CROSS bridges the gap between student research and successful open source projects.
Remco Kranenburg,xrdesktop,xrdesktop provides integration of traditional desktop compositors with XR on Linux.
Gavish Poddar,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Ping Zhang,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Lakshya Singh,Chapel,"Chapel is an open-source programming language designed for productive parallel
computing at scale."
Suhas G,JdeRobot - Universidad Rey Juan Carlos,"JdeRobot is a software toolkit for development of Robotics and Computer Vision applications. ROS friendly. It uses Python, C++, JS. It includes an Academy to learn robotics"
Martynas Stankevičius,FFmpeg,"A complete, cross-platform solution to record, convert and stream audio and video."
Akshat Tiwari,MetaBrainz Foundation Inc,"The MetaBrainz Foundation is a non-profit that believes in free, open access to data. It curates and publishes community maintained databases focusing on music and books."
Liutong HAN,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Ritiek Malhotra,MetaBrainz Foundation Inc,"The MetaBrainz Foundation is a non-profit that believes in free, open access to data. It curates and publishes community maintained databases focusing on music and books."
Benjamin Doron,TianoCore,TianoCore is the community supporting an open source implementation of the Unified Extensible Firmware Interface (UEFI). EDK II is our firmware development environment.
mschwennesen,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Aayush Joglekar,Chromium,"Chromium is an open-source project that aims to provide fast, seamless, safe, and reliable computing experiences for all."
Mragank Shekhar,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Siyuan Fan,libcamera,"An open source camera stack and framework for Linux, Android, and ChromeOS"
Sankha Das,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Avinash,freifunk,Freifunk is part of a global movement for free infrastructure. Our vision is the democratization of media with free networks. Wireless communities implement this idea worldwide.
Adrian-Antonio Petre,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Frank Schäfer,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Adwait Bhope,openastronomy,OpenAstronomy is an umbrella organisation that includes open source projects used by researchers and engineers around the world to better understand the universe.
Sparsh Agrawal,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Omar Mohamed Abdel Samea,FOSSology,"FOSSology is an open source license compliance software system and toolkit. License, copyright and export scanners are tools used in the workflow."
Deepro Choudhury,Google FHIR SDK,"The Android FHIR SDK is an Android library for building offline-capable, mobile-first healthcare applications using FHIR resources on Android."
santhab,LibreOffice,"LibreOffice is a lively and diverse community, delivering a full-featured cross-platform office suite. We value new contributors, just as we prize Open Source and Open Standards."
open-sorcerer,Chromium,"Chromium is an open-source project that aims to provide fast, seamless, safe, and reliable computing experiences for all."
Hongcheng Zhong,Intel Video and Audio for Linux,We work on Linux opensource video and audio software for Intel.
Sandagomi Pieris,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Ilias Kyranas,GFOSS - Open Technology Alliance,"Open Technologies Alliance (GFOSS)  is a non-profit organization, with 34 Universities and Research Centers as its shareholders. Our main goal is to promote Openness."
Alana Xiang,Open Chemistry,"Open Chemistry is a collection of open source chemistry tools for the creation, exploration, analysis, and visualization of chemical data."
Alexis Ehret,Rizin,"Rizin - portable reverse engineering framework and a toolset supporting various platforms, architectures and file formats."
Marcos Lerones,Haskell.org,"Haskell is an advanced, purely functional programming language. It boasts a strong type system with type inference. It compiles to fast native code with a concurrent runtime."
Akash Gupta,MetaBrainz Foundation Inc,"The MetaBrainz Foundation is a non-profit that believes in free, open access to data. It curates and publishes community maintained databases focusing on music and books."
Sahan Dilshan,DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web
Ankur Saini,GNU Compiler Collection (GCC),The GNU Compiler Collection (GCC) is a compiler system produced by the GNU Project supporting various programming languages and a variety of native and cross targets.
anubhav sharma,Google FHIR SDK,"The Android FHIR SDK is an Android library for building offline-capable, mobile-first healthcare applications using FHIR resources on Android."
Yeming Gu,CHAOSS Project,CHAOSS is an open source project focused on creating analytics and metrics to help define community health. The CHAOSS Project community is organized around software and metrics.
Jimil Desai,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Aadi Bajpai,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer..."
Utkarsh Maheshwari,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Captain Yoshi,MoveIt,"MoveIt is the leading open source framework for robot motion planning, manipulation, inverse kinematics, and control."
Rashmi K A,CHAOSS Project,CHAOSS is an open source project focused on creating analytics and metrics to help define community health. The CHAOSS Project community is organized around software and metrics.
Indraneel Ghosh,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Binh-Minh Tran-Huu,AerospaceResearch.net,"Making space together. Space is interdisciplinary, international & intercultural. We live this philosophy. Help the space community realizing our dream of open space for everybody"
Linden Disney-Hogg,SageMath,"SageMath is a free open-source mathematics software system licensed under the GPL.
It’s mission is “creating a viable free alternative to Magma, Maple, Mathematica and Matlab”."
Ramanujan,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
D Ajay Kumar,52°North GmbH,52°North is an open source software initiative in the field of geoinformatics. Our focus is Spatial Information Research including web-based geoprocessing and earth observation.
Mainak Deb,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Eyvaz Ahmadzada,Joomla!,Joomla is one of the world's most popular software packages used to build websites and online apps. Joomla is supported by a large ecosystem powering about 2% of known businesses.
Okonkwo Ifeanyichukwu,Apertium,A free/open-source machine translation platform.
DhairyaJain,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
amanpro30,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Srijan Paul,LabLua,"LabLua is a research lab dedicated to research on programming languages, with emphasis on the Lua language and reactive programming."
Nektarios Gkikakis Fifes,Postman,Postman provides solutions for all stages of the API lifecycle. Our open source modules power core features and give developers the flexibility to work in different environments.
vsquareg,OpenMined,"OpenMined is an open-source community of researchers, engineers, mentors and enthusiasts committed to making a fairer world by building and teaching privacy enhancing technologies"
Giannis Papad,GFOSS - Open Technology Alliance,"Open Technologies Alliance (GFOSS)  is a non-profit organization, with 34 Universities and Research Centers as its shareholders. Our main goal is to promote Openness."
Sanjiban Sengupta,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Jeevi,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Nithin Jaikar,CRIU,CRIU is a tool that can save the state of a running container to disk and restore the container later exactly as it was
Olivian,Haskell.org,"Haskell is an advanced, purely functional programming language. It boasts a strong type system with type inference. It compiles to fast native code with a concurrent runtime."
Siras Hakobyan,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Jakub Jelinek,Fortran-lang,Fortran-lang is an open source community whose goal is to develop modern infrastructure and online collaborative platforms for the Fortran language.
Shivaditya Shivganesh,LibreHealth,"LibreHealth is collaborative community for free & open source software projects in Health IT, and is a member project of Software Freedom Conservancy."
Rishi Purwar,Postman,Postman provides solutions for all stages of the API lifecycle. Our open source modules power core features and give developers the flexibility to work in different environments.
Vishal Dalwadi,Polypheny,Polypheny is a novel & innovative adaptive database system. It efficiently processes heterogeneous workloads by combining specialized storage engines based on a learned cost model.
Amlan Kumar Nandy,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Aditya Mitra,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
Nuwan Jayawardene,The Apache Software Foundation,Providing open source software to the public free of charge
Dongjia Zhang,AFLplusplus,AFL++ - originally based on afl - is currently one of the most efficient fuzzers available and is deployed on Google's oss-fuzz. Join us to make afl++ even better!
Aidan Marshall,Genome Assembly and Annotation,The Genome Assembly and Annotation resources freely distribute reference annotations of genomic sequences and variation to the worldwide research community.
Vadim Abzalov,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Emiljano Gjiriti,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers
srkltg,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Vasily Ilin,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Preet Vadaliya,MIT App Inventor,"MIT App Inventor is a free, open source web app that anyone can use to build mobile apps."
yuqi (alyssa) chen,TianoCore,TianoCore is the community supporting an open source implementation of the Unified Extensible Firmware Interface (UEFI). EDK II is our firmware development environment.
YoungHwan Joo,PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system."
Aneesh Chawla,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Ferran Delgado Garcia,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster
pschreiber,freifunk,Freifunk is part of a global movement for free infrastructure. Our vision is the democratization of media with free networks. Wireless communities implement this idea worldwide.
Sunit Roy,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Ayush Singh,AerospaceResearch.net,"Making space together. Space is interdisciplinary, international & intercultural. We live this philosophy. Help the space community realizing our dream of open space for everybody"
Neel,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Sarthak_Gupta,Sugar Labs,"We make tools that learners use to explore, discover, create, and
reflect. We encourage our users to appropriate them, taking ownership
and responsibility for their learning."
Ishan Kumar Kaler,Purr Data,"An HTML5 visual programming language with a realtime DSP synthesis backend written in C. Mostly used to make music. Also used to do realtime graphics, video, and interactive art."
Vineet Jain,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
Kinar Sharma,The Apache Software Foundation,Providing open source software to the public free of charge
Aditya Wagh,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Anubhav Sharma-1,Wikimedia Foundation,"Wikimedia is a global movement whose mission is to bring free educational content to the world through its various projects, local chapters, and support structures."
Pankaj Yadav,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Evgeniia Karunus,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Ilia Ilmer,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Shaik Ajmal R,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
David Davó,Haskell.org,"Haskell is an advanced, purely functional programming language. It boasts a strong type system with type inference. It compiles to fast native code with a concurrent runtime."
Rahul Anand,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
Abhay0O7,CASTOR,CASTOR develops software technology for the development and management of trustworthy software intensive systems for critical functions.
Songlin Jiang,openSUSE Project,"The openSUSE project is a community effort to enhance and promote the use of Linux. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools."
